Title,Description,Link,Official Link,Image,Deadline,Eligibility,Host Country,Host University,Program Duration,Degree Offered,Region,Post_at
"University of Sydney AGRTP Scholarship 2026, Australia (Fully Funded)","Scholarships in AustraliaUniversity of Sydney AGRTP Scholarship 2026, Australia (Fully Funded)ByMuhammad Saim Rasheed-May 12, 2025",https://opportunitiescorners.com/university-of-sydney-agrtp-scholarship-australia/,https://www.sydney.edu.au/study/applying/how-to-apply/postgraduate-research.html,,Deadline: 19th December 2025,"The University of Sydney RTP Scholarship is open to all Nationals.You canonly applyfor the RTP Scholarship if you havereceived an offerinto a higher degree by research program.You can find the HDR Degree programsin this listDevelop your research proposal and find a supervisor. Before you submit your application, you must first secure a supervisor.Followthis guideon how to make a research proposal.A bachelor’s degree is required to apply for a master’s by research.A master’s degree is required to apply for a PhD in research.You also need to meet the English Language Requirements.
Also Check:Islamic University Madinah Scholarship 2025 (Fully Funded)",Australia,University of Sydney AGRTP Scholarship,3-4 years,"Master’s, PhD (by Research)",Australia-OpportunitiesCorners,"May 12, 2025"
Australia Awards Scholarships 2026 (Fully Funded) AAS 2026,"Scholarships in AustraliaAustralia Awards Scholarships 2026 (Fully Funded) AAS 2026ByMuhammad Saim Rasheed-February 2, 2025",https://opportunitiescorners.com/australia-awards-scholarships-2026/,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,,Deadline: 30th April 2025,"The following Australian institutions are participating in the Australia Awards Scholarship Program:
Australian Catholic UniversityAviation AustraliaBond UniversityBox Hill Institute of TAFEBureau of MeteorologyCanberra Institute of TechnologyCentral Queensland UniversityChisholm University of TAFECharles Darwin UniversityCharles Sturt UniversityChisholm Institute of TAFECurtin University of TechnologyDeakin UniversityEdith Cowan UniversityFederation UniversityGold Coast Institute of TAFEFlinders UniversityGriffith UniversityHolmesglen Institute of TAFEJames Cook UniversityKangan Batman Institute of TAFELa Trobe UniversityMacquarie UniversityMonash UniversityMurdoch UniversityNorthern Melbourne Institute of TAFEQueensland University of TechnologyRMIT UniversitySouthbank Institute of TechnologySouthern Cross UniversitySunshine Coast Institute of TechnologySwinburne University of TechnologyTAFE NSWTAFE Queensland BrisbaneTAFE SATasmanian PolytechnicThe Australian National UniversityThe University of AdelaideThe University of MelbourneThe University of New EnglandThe University of New South Wales (UNSW)The University of NewcastleThe University of Notre DameThe University of QueenslandThe University of SydneyThe University of Western AustraliaTropical North Queensland TAFEUniversity of BallaratUniversity of CanberraUniversity of South AustraliaUniversity of Southern QueenslandUniversity of the Sunshine CoastUniversity of Tasmania (including the Australian Maritime College)University of Technology SydneyUniversity of WollongongVictoria UniversityWestern Sydney UniversityWilliam Angliss Institute of TAFE
Also Check:GKS Korean Government Graduate Scholarship 2025 (Fully Funded)",Australia,Australian Catholic UniversityAviation AustraliaBond UniversityBox Hill Institute of TAFEBureau of MeteorologyCanberra Institute of TechnologyCentral Queensland UniversityChisholm University of TAFECharles Darwin UniversityCharles Sturt UniversityChisholm Institute of TAFECurtin University of TechnologyDeakin UniversityEdith Cowan UniversityFederation UniversityGold Coast Institute of TAFEFlinders UniversityGriffith UniversityHolmesglen Institute of TAFEJames Cook UniversityKangan Batman Institute of TAFELa Trobe UniversityMacquarie UniversityMonash UniversityMurdoch UniversityNorthern Melbourne Institute of TAFEQueensland University of TechnologyRMIT UniversitySouthbank Institute of TechnologySouthern Cross UniversitySunshine Coast Institute of TechnologySwinburne University of TechnologyTAFE NSWTAFE Queensland BrisbaneTAFE SATasmanian PolytechnicThe Australian National UniversityThe University of AdelaideThe University of MelbourneThe University of New EnglandThe University,3-4 years,"Bachelors, Masters, PhD",Australia-OpportunitiesCorners,"February 2, 2025"
600 University of Melbourne Graduate Research Scholarship 2025,"Scholarships in Australia600 University of Melbourne Graduate Research Scholarship 2025ByMuhammad Saim Rasheed-July 9, 2024",https://opportunitiescorners.com/600-university-of-melbourne-graduate-research-scholarship/,https://scholarships.unimelb.edu.au/awards/graduate-research-scholarships#eligibility,,Deadline: 31st October 2024,"The scholarship is open to both Australian and International applicants.For new applicants: An Applicant must have applied for a graduate research degree at the University of Melbourne. If selected, you will beautomatically consideredfor the scholarship.Applicants who are already enrolled in a graduate research degree can also apply.
Also Check:ANU University Research Scholarship 2024-25, Australia (Fully Funded)",Austria,600 University of Melbourne Graduate,1-2 years,"Master, Doctorate",Australia-OpportunitiesCorners,"July 9, 2024"
Deakin University Australia RTP Scholarship 2025 (Fully Funded),"Scholarships in AustraliaDeakin University Australia RTP Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-May 19, 2024",https://opportunitiescorners.com/deakin-university-australia-rtp-scholarship/,https://opportunitiescorners.com/italian-government-maeci-scholarship/,,Deadline: Open All Year,"To be eligible for the Deakin University RTP Scholarship:
An applicant must be an international or domestic student.An applicant must have an offer or be enrolled in an HDR course of study at Deakin University.To be eligible for the scholarship an applicant must not receive income from another source to support if that income is greater than 75 percent of that student’s RTP.Students of the RTP scholarship will be enrolled as on-campus full-time students.Completed at least 4 years of undergraduate degree program.Meet all the admission requirements andHigher Degrees by Research (HDR) Admission, Selection and Enrolment Procedure",Australia,Deakin University Australia RTP Scholarship,3-4 years,"Master by Research, PhD by Research",Australia-OpportunitiesCorners,"May 19, 2024"
"ANU University Research Scholarship 2024-25, Australia (Fully Funded)","Scholarships in AustraliaANU University Research Scholarship 2024-25, Australia (Fully Funded)ByMuhammad Saim Rasheed-May 6, 2024",https://opportunitiescorners.com/anu-university-research-scholarship-2024/,https://study.anu.edu.au/scholarships/find-scholarship/anu-university-research-scholarships,,Deadline:,"The scholarship is open to national and international students seeking admission to the HDR Program.The award will be automatically given after completing and securing admission to the university.The scholarship will be given based on Academic Record, Research Potential, support from the prospective supervisor, Referee reports, and English Language competency.",,"ANU University Research Scholarship 2024-25,",2 years,don’t,Australia-OpportunitiesCorners,"May 6, 2024"
Australian National University AGRTP Scholarship 2024-25 (Fully Funded),"Scholarships in AustraliaAustralian National University AGRTP Scholarship 2024-25 (Fully Funded)ByMuhammad Saim Rasheed-April 30, 2024",https://opportunitiescorners.com/australian-national-university-agrtp-scholarship/,https://study.anu.edu.au/scholarships/find-scholarship/australian-government-research-training-program-agrtp-stipend,,Deadline: 31st August 2024,The AGRTP Scholarship is for international students undertaking Higher Degree Research programs. You can enroll in Master by Research or PhD by Research programs.,,Australian National University AGRTP Scholarship,2 years,Master,Australia-OpportunitiesCorners,"April 30, 2024"
Flinders University AGRTP Scholarship 2024-25 in Australia (Fully Funded),"Scholarships in AustraliaFlinders University AGRTP Scholarship 2024-25 in Australia (Fully Funded)ByMuhammad Saim Rasheed-April 26, 2024",https://opportunitiescorners.com/flinders-university-agrtp-scholarship-2024/,https://www.flinders.edu.au/scholarships/australian-government-research-training-program-scholarship-international,,Deadline: 18th August 2024,The Flinders University AGRTP (International) is a scholarship that is offered to international students who are undertaking a research degree (Master’s or PhD) at the university.,,Flinders University AGRTP Scholarship 2024-25,2 years,Master,Australia-OpportunitiesCorners,"April 26, 2024"
BS MS PhD Scholarships in Australia in 2024 (Fully Funded),"Scholarships in AustraliaBS MS PhD Scholarships in Australia in 2024 (Fully Funded)ByMuhammad Saim Rasheed-February 19, 2024",https://opportunitiescorners.com/bs-ms-phd-scholarships-in-australia-in-2024/,,,Deadline not specified,,," 
 The same goes for the university",2 years,PhD/Doctorate,Australia-OpportunitiesCorners,"February 19, 2024"
List of Conferences and Youth Summits in 2025 (Fully Funded),"ConferencesList of Conferences and Youth Summits in 2025 (Fully Funded)ByMuhammad Saim Rasheed-May 23, 2025",https://opportunitiescorners.com/list-of-conference-and-youth-summit/,,,Deadline: 25th June 2025,,Switzerland, I completed my higher education from University,1-2 years,,Australia-OpportunitiesCorners,"May 23, 2025"
Poland Government Stefan Banach Scholarship 2025/26 (Fully Funded),"Scholarships in EuropePoland Government Stefan Banach Scholarship 2025/26 (Fully Funded)ByMuhammad Saim Rasheed-May 22, 2025",https://opportunitiescorners.com/poland-government-stefan-banach-scholarship-2025/,https://opportunitiescorners.com/malta-endeavour-scholarship/,,Deadline:21st June 2025,"List of universities supervised by the Minister of Science and Higher Education:
Academy of Social and Media Culture in ToruńAdam Mickiewicz University in PoznańAGH University of KrakowAndrzej Frycz Modrzewski Krakow UniversityBialska Academy of John Paul II in Biała PodlaskaBialystok University of TechnologyBielsko-Biała UniversityBronisław Czech University of Physical Education in KrakówCardinal Stefan Wyszyński University in WarsawChristian Theological Academy in WarsawCollegium Civitas in WarsawCollegium Da Vinci in PoznańCommission of National Education University in KrakówCracow University of EconomicsCzęstochowa University of TechnologyEugeniusz Piasecki University of Physical Education in PoznańEuropean University of Medical and Social Sciences in WarsawGdańsk University of TechnologyHelena Chodkowska University of Technology and Economics in WarsawIgnacy Łukasiewicz Rzeszów University of TechnologyIgnatianum Academy in KrakowInternational University of Logistics and Transport in WrocławJacob of Paradies UniversityJagiellonian University in KrakówJan and Jędrzej Śniadecki University of Technology in BydgoszczJan Długosz University in CzęstochowaJan Grodek State University in SanokJan Kochanowski University in KielceJerzy Kukuczka University of Physical Education in KatowiceJędrzej Śniadecki University of Physical Education and Sport in GdańskJohn Paul II Catholic University of LublinJózef Piłsudski University of Physical Education in WarsawKatowice Institute of Information TechnologiesKazimierz Pułaski University of Technology and Humanities in RadomKazimierz Wielki University in BydgoszczKielce University of TechnologyKoszalin University of TechnologyKozminski UniversityLazarski University in WarsawLodz University of TechnologyLower Silesian University DSW in WrocławLublin University of TechnologyŁomża AcademyMaria Curie-Skłodowska University in LublinMaria Grzegorzewska UniversityNicolaus Copernicus University in ToruńOpole University of TechnologyPolish-Japanese Academy of Information Technology in WarsawPomeranian University in SłupskPontifical University of John Paul II in KrakówPoznan School of LogisticsPoznan University of TechnologyPoznań University of Economics and BusinessPoznań University of Life SciencesSGH Warsaw School of EconomicsSilesian University of Technology in GliwiceSopot University of Applied SciencesState Academy of Applied Sciences in ChełmState Academy of Applied Sciences in PrzemyślState Academy of Applied Sciences named after Rev. Bronisław Markiewicz in JarosławState Vocational University named after Prof. Edward F. Szczepanik in SuwałkiSWPS UniversityTadeusz Kościuszko Cracow University of TechnologyTarnów AcademyTechnical and Artistic University of Applied Sciences in WarsawThe University College of Enterprise and AdministrationUniversity of Agriculture in KrakowUniversity of Applied Sciences in Bielsko-BiałaUniversity of Applied Sciences in ElblągUniversity of Applied Sciences in Nowy TargUniversity of Applied Sciences in OpoleUniversity of BiałystokUniversity of Economics and Human Sciences in WarsawUniversity of Economics in KatowiceUniversity of GdańskUniversity of Health in GdańskUniversity of Information Technology and Management in RzeszówUniversity of Life Sciences in LublinUniversity of ŁódźUniversity of OpoleUniversity of Physical Education of Polish Olympians in WrocławUniversity of RzeszówUniversity of SiedlceUniversity of Silesia in KatowiceUniversity of Social Sciences in ŁódźUniversity of SzczecinUniversity of Warmia and Mazury in OlsztynUniversity of WarsawUniversity of WrocławUniversity of Zielona GóraVincent Pol University of Applied Sciences in LublinVistula School of Hospitality in WarsawVistula UniversityWarsaw College of Engineering and HealthWarsaw University of Life SciencesWarsaw University of TechnologyWest Pomeranian University of Technology in SzczecinWIT Academy in WarsawWroclaw Business University of Applied SciencesWroclaw Business University of Applied SciencesWrocław University of Economics and BusinessWrocław University of Environmental and Life SciencesWrocław University of Science and TechnologyWSB Merito University GdanskWSB Merito University PoznanWSB Merito University WroclawWSB University in Dąbrowa GórniczaZamość Academy",Poland, Leipzig University,3-4 years,Master’s Degree,Australia-OpportunitiesCorners,"May 22, 2025"
