Title,Description,Link,Official Link,Image,Deadline,Eligibility,Host Country,Host University,Program Duration,Degree Offered,Region,Post_at
A STAR SINGA Scholarship 2026 in Singapore (Fully Funded),"Scholarships in SingaporeA STAR SINGA Scholarship 2026 in Singapore (Fully Funded)ByMuhammad Saim Rasheed-May 10, 2025",https://opportunitiescorners.com/a-star-singa-scholarship-2026/,,,Deadline: 1st June 2025,To be eligible for the SINGA Scholarship:,Singapore, or SIT University,4 years,"PhD, EngD",Singapore,"May 10, 2025"
"NTU Singapore Scholarship 2025 for BS, MS, PhD (Fully Funded)","Scholarships in SingaporeNTU Singapore Scholarship 2025 for BS, MS, PhD (Fully Funded)ByMuhammad Saim Rasheed-September 17, 2024",https://opportunitiescorners.com/ntu-scholarship-singapore/,https://www.ntu.edu.sg/admissions/undergraduate/scholarships/nanyang-scholarship#Content_C004_Col00,,Deadline not specified,,Singapore, Now realize how beautiful Nanyang Technological University,3-4 years,"Bachelor, Masters, PhD",Singapore,"September 17, 2024"
National University of Singapore ADB Scholarship 2025 (Fully Funded),"Scholarships in SingaporeNational University of Singapore ADB Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-September 5, 2024",https://opportunitiescorners.com/national-university-of-singapore-adb-scholarship/,https://mba.nus.edu.sg/apply-now/,,Deadline:15 January 2025(Must apply by this to be considered for the ADB scholarship),,Singapore,National University of Singapore ADB,3-4 years,Asian Development Bank (ADB) Japan Scholarship Program,Singapore,"September 5, 2024"
BS MS PhD Scholarships in Singapore for 2025 (Fully Funded),"Scholarships in SingaporeBS MS PhD Scholarships in Singapore for 2025 (Fully Funded)ByMuhammad Saim Rasheed-May 31, 2024",https://opportunitiescorners.com/bs-ms-phd-scholarships-in-singapore/,,,Deadline not specified,,," 2024 
 
641

    Shares
  


Share


Share


Share


Share


Tweet


Share
Singapore is home to some of the Top Universities in the world like the National University",3-4 years,PhD/Doctorate,Singapore,"May 31, 2024"
Singapore A STAR ACIS Scholarship 2025 (Fully Funded),"Scholarships in SingaporeSingapore A STAR ACIS Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-May 12, 2024",https://opportunitiescorners.com/singapore-a-star-acis-scholarship/,https://opportunitiescorners.com/bs-ms-phd-scholarships-in-japan-without-ielts/,,Deadline: 1st August 2024,Open to all Nationals including Singaporeans.Non-Singaporeans must have completed a degree or are on track to complete a degree.Have obtained at least a 2ndUpper-Class Honours degree or equivalent in a relevant discipline.Applicants in the last semester of their final year of undergraduate studies are welcome to apply.Having a strong interest in the CIS area.,Singapore,University of Miami Stamps Scholarship 2025 ,3-4 years,PhD,Singapore,"May 12, 2024"
Singapore A STAR Graduate Scholarship 2025 (Fully Funded),"Scholarships in SingaporeSingapore A STAR Graduate Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-May 11, 2024",https://opportunitiescorners.com/singapore-a-star-graduate-scholarship/,https://www.a-star.edu.sg/Scholarships/for-graduate-studies/a-star-graduate-scholarship-singapore,,Deadline: 1st August 2024,"The scholarship is open to Singaporeans and non-Singaporeans.Non-Singaporeans must have completed a degree.Show your interest in a PhD or EngD Program.Have obtained at least a 2ndUpper-Class Honours degree or equivalent in a relevant discipline.Applicants who are in the last semester of their final year of undergraduate studies are welcome to apply.Applicants show strong interest in a research career.
Also Check:ANU University Research Scholarship 2024-25, Australia (Fully Funded)",Singapore, ANU University,3-4 years,Bachelor,Singapore,"May 11, 2024"
NUS Singapore Scholarship 2024 (Fully Funded),"Scholarships in SingaporeNUS Singapore Scholarship 2024 (Fully Funded)ByOpportunities Corners-July 21, 2023",https://opportunitiescorners.com/nus-singapore-scholarship-2024-fully-funded/,,,Deadline not specified,,Singapore," 2023 
 
234

    Shares
  


Share


Share


Share


Share


Tweet


Share
A leading Global University",3-4 years,Bachelor,Singapore,"July 21, 2023"
List of Conferences and Youth Summits in 2025 (Fully Funded),"ConferencesList of Conferences and Youth Summits in 2025 (Fully Funded)ByMuhammad Saim Rasheed-May 23, 2025",https://opportunitiescorners.com/list-of-conference-and-youth-summit/,,,Deadline: 25th June 2025,,Switzerland, I completed my higher education from University,1-2 years,,Singapore,"May 23, 2025"
Poland Government Stefan Banach Scholarship 2025/26 (Fully Funded),"Scholarships in EuropePoland Government Stefan Banach Scholarship 2025/26 (Fully Funded)ByMuhammad Saim Rasheed-May 22, 2025",https://opportunitiescorners.com/poland-government-stefan-banach-scholarship-2025/,https://opportunitiescorners.com/malta-endeavour-scholarship/,,Deadline:21st June 2025,"List of universities supervised by the Minister of Science and Higher Education:
Academy of Social and Media Culture in ToruńAdam Mickiewicz University in PoznańAGH University of KrakowAndrzej Frycz Modrzewski Krakow UniversityBialska Academy of John Paul II in Biała PodlaskaBialystok University of TechnologyBielsko-Biała UniversityBronisław Czech University of Physical Education in KrakówCardinal Stefan Wyszyński University in WarsawChristian Theological Academy in WarsawCollegium Civitas in WarsawCollegium Da Vinci in PoznańCommission of National Education University in KrakówCracow University of EconomicsCzęstochowa University of TechnologyEugeniusz Piasecki University of Physical Education in PoznańEuropean University of Medical and Social Sciences in WarsawGdańsk University of TechnologyHelena Chodkowska University of Technology and Economics in WarsawIgnacy Łukasiewicz Rzeszów University of TechnologyIgnatianum Academy in KrakowInternational University of Logistics and Transport in WrocławJacob of Paradies UniversityJagiellonian University in KrakówJan and Jędrzej Śniadecki University of Technology in BydgoszczJan Długosz University in CzęstochowaJan Grodek State University in SanokJan Kochanowski University in KielceJerzy Kukuczka University of Physical Education in KatowiceJędrzej Śniadecki University of Physical Education and Sport in GdańskJohn Paul II Catholic University of LublinJózef Piłsudski University of Physical Education in WarsawKatowice Institute of Information TechnologiesKazimierz Pułaski University of Technology and Humanities in RadomKazimierz Wielki University in BydgoszczKielce University of TechnologyKoszalin University of TechnologyKozminski UniversityLazarski University in WarsawLodz University of TechnologyLower Silesian University DSW in WrocławLublin University of TechnologyŁomża AcademyMaria Curie-Skłodowska University in LublinMaria Grzegorzewska UniversityNicolaus Copernicus University in ToruńOpole University of TechnologyPolish-Japanese Academy of Information Technology in WarsawPomeranian University in SłupskPontifical University of John Paul II in KrakówPoznan School of LogisticsPoznan University of TechnologyPoznań University of Economics and BusinessPoznań University of Life SciencesSGH Warsaw School of EconomicsSilesian University of Technology in GliwiceSopot University of Applied SciencesState Academy of Applied Sciences in ChełmState Academy of Applied Sciences in PrzemyślState Academy of Applied Sciences named after Rev. Bronisław Markiewicz in JarosławState Vocational University named after Prof. Edward F. Szczepanik in SuwałkiSWPS UniversityTadeusz Kościuszko Cracow University of TechnologyTarnów AcademyTechnical and Artistic University of Applied Sciences in WarsawThe University College of Enterprise and AdministrationUniversity of Agriculture in KrakowUniversity of Applied Sciences in Bielsko-BiałaUniversity of Applied Sciences in ElblągUniversity of Applied Sciences in Nowy TargUniversity of Applied Sciences in OpoleUniversity of BiałystokUniversity of Economics and Human Sciences in WarsawUniversity of Economics in KatowiceUniversity of GdańskUniversity of Health in GdańskUniversity of Information Technology and Management in RzeszówUniversity of Life Sciences in LublinUniversity of ŁódźUniversity of OpoleUniversity of Physical Education of Polish Olympians in WrocławUniversity of RzeszówUniversity of SiedlceUniversity of Silesia in KatowiceUniversity of Social Sciences in ŁódźUniversity of SzczecinUniversity of Warmia and Mazury in OlsztynUniversity of WarsawUniversity of WrocławUniversity of Zielona GóraVincent Pol University of Applied Sciences in LublinVistula School of Hospitality in WarsawVistula UniversityWarsaw College of Engineering and HealthWarsaw University of Life SciencesWarsaw University of TechnologyWest Pomeranian University of Technology in SzczecinWIT Academy in WarsawWroclaw Business University of Applied SciencesWroclaw Business University of Applied SciencesWrocław University of Economics and BusinessWrocław University of Environmental and Life SciencesWrocław University of Science and TechnologyWSB Merito University GdanskWSB Merito University PoznanWSB Merito University WroclawWSB University in Dąbrowa GórniczaZamość Academy",Poland, Leipzig University,3-4 years,Master’s Degree,Singapore,"May 22, 2025"
"Leadership Awards Summit 2025 in New York, USA (Fully Funded)","ConferencesLeadership Awards Summit 2025 in New York, USA (Fully Funded)ByMuhammad Saim Rasheed-May 22, 2025",https://opportunitiescorners.com/leadership-awards-summit-in-usa/,https://risingleadersmag.com/event-usa/,,Deadline: 30th June 2025,"The Program is open to Nationals of all Countries.Everyone can apply.Open to individuals aged 16 to 45 from all over the world.StudentsProfessionals & business leadersSocial workers & youth advocatesHealthcare practitioners & policymakersTrainers & educatorsLawyers & ambassadorsVolunteers & aspiring young leaders
Also Check:AGA Khan  Global Leadership Program 2025 in Canada (Fully Funded)",USA, Duke University,1-2 years,,Singapore,"May 22, 2025"
