Title,Description,Link,Official Link,Image,Deadline,Eligibility,Host Country,Host University,Program Duration,Degree Offered,Region,Post_at
KOICA Scholarship 2025 in South Korea (Fully Funded),"Scholarships in South KoreaKOICA Scholarship 2025 in South Korea (Fully Funded)ByMuhammad Saim Rasheed-May 12, 2025",https://opportunitiescorners.com/koica-scholarship-2025/,https://www.koica.go.kr/ciat/7815/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGY2lhdCUyRjE5NTIlMkYzODgwOTclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV3JkJTNEJTI2YmJzQ2xTZXElM0QlMjZiYnNPcGVuV3JkU2VxJTNEJTI2cmdzQmduZGVTdHIlM0QlMjZyZ3NFbmRkZVN0ciUzRCUyNmlzVmlld01pbmUlM0RmYWxzZSUyNnBhc3N3b3JkJTNEJTI2,,"Deadline: July 31, 2025. But please check the specific application deadline for your country through your local KOICA office or the Korean Embassy.","HANDONG GLOBAL UNIVERSITYMaster’s Degree Program in e-Government and Public Management. (Quota: 20)Doctoral Degree Program in e-Government and Public Management. (Quota: 3)Master's Degree AbroadINCHEON NATIONAL UNIVERSITYMaster’s Degree Program in Capacity Building for Managing climate change and the environment. (Quota: 20)KDI SCHOOL OF PUBLIC POLICY AND MANAGEMENTMaster’s Degree Program in Economic Development Policy for Sustainable and Inclusive Growth. (Quota: 20)Doctoral Degree Program in Economic Development Policy for Sustainable and Inclusive Growth. (Quota: 3)SUNKYUNKWAN UNIVERSITYMaster’s Degree Program in e-Government and Public Management (2). (Quota: 20)YONSEI UNIVERSITYMaster’s Degree Program in Health Policy and Financing Capacity Building. (Quota: 20)Doctoral Degree Program in Health Policy and Financing Capacity Building. (Quota: 3)Master's Degree Abroad
Also Check:KAIST EE Camp 2025 in South Korea (Fully Funded)",Korea,University of Sydney AGRTP Scholarship 2026,3-4 years,"Master’s, PhD",South Korea,"May 12, 2025"
UST South Korea Scholarship For Fall 2025 (Fully Funded),"Scholarships in South KoreaUST South Korea Scholarship For Fall 2025 (Fully Funded)ByMuhammad Saim Rasheed-April 24, 2025",https://opportunitiescorners.com/ust-south-korea-scholarship-2025/,,,Deadline:7th May 2025,"To be eligible for theUST Scholarship for Fall 2025 intake, applicants must meet the requirements set by the University of Science and Technology for International students.
Applicants of all nationalities from any country can apply.Candidates should provide all the required documents as specified in the online application form.Korean citizens are not eligible to apply.Candidates applying for the UST Master’s Program must have completed a Bachelor’s Degree.Students applying for a Ph.D. must have completed or expect to complete their Master’s degree.Read theAdmission Guidelines for International students.",South Korea,UST,3-4 years,"Master’s, PhD, Master’s Leading to PhD",South Korea,"April 24, 2025"
GIST University South Korea Scholarship 2025 (Fully Funded),"Scholarships in South KoreaGIST University South Korea Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-March 21, 2025",https://opportunitiescorners.com/gist-university-south-korea-scholarship/,https://www.gist.ac.kr/iadm/html/sub05/0502.html?mode=V&no=216702&GotoPage=1,,Deadline:14th April 2025 (17:00) (KST),Applicants from all countries can apply.An applicant must have a bachelor’s degree that is equivalent to a Korean bachelor’s degree.All documents must be submitted.Please Read theFAQsMeet the Admission Requirements.,South Korea,GIST University South Korea Scholarship,4 years,"Masters, PhD",South Korea,"March 21, 2025"
KAIST University Graduate Scholarship 2025 (FALL Regular Intake),"Scholarships in South KoreaKAIST University Graduate Scholarship 2025 (FALL Regular Intake)ByMuhammad Saim Rasheed-March 20, 2025",https://opportunitiescorners.com/kaist-graduate-scholarship-2025/,https://gradapply.kaist.ac.kr/intergradapply/,,Application Deadline: 25th March 2025,,South Korea,KAIST University Graduate Scholarship 2025,3-4 years,College of Natural SciencesLife Science and BioengineeringCollege of EngineeringCollege of Liberal Arts and Convergence ScienceCollege of Business,South Korea,"March 20, 2025"
Korea University SK Global Scholarship 2025 (Fully Funded),"Scholarships in South KoreaKorea University SK Global Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-March 5, 2025",https://opportunitiescorners.com/korea-university-sk-global-scholarship/,https://graduate2.korea.ac.kr/scholarship/skscholarships.html,,Deadline: 31st March 2025,"The SK Global Scholarship Program is open to the Citizens of Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Georgia, Hungary, Latvia, Lithuania, Moldova, Montenegro, North Macedonia, Poland, Romania, Serbia, Slovakia, Slovenia, and Ukraine, Brunei, Cambodia, East Timor, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam, India and Pakistan.To be eligible for the scholarship, both of your parents must be citizens of a country that isNOTSouth Korea.Also, if your citizenship changes during the application process to a country that is not one of the 32 eligible countries, your application will be disqualified.An applicant must have a Bachelor’s Degree or be in their Final year.Proof of English Language Proficiency.
Also Check:Hasselt Belgium Master Mind Scholarship 2025/26 (Fully Funded)",South Korea,Korea University SK Global Scholarship,3-4 years,Fall 2025 Intake,South Korea,"March 5, 2025"
GKS Korean Government Graduate Scholarship 2025 (Fully Funded),"Scholarships in South KoreaGKS Korean Government Graduate Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-January 26, 2025",https://opportunitiescorners.com/gks-graduate-scholarship/,https://www.studyinkorea.go.kr/ko/scholarship/Gks1NoticeDetail.do?nttId=4269,,Deadline: Different for each country,The GKS Global Korea Graduate Scholarship is open to all the Nationals.All applicants and their parents mustnot hold Korean citizenship.Applicants must have earned a bachelor’s degree or be expected to complete their bachelor’s degree program by the start of the scholarship period.,South Korea, I completed my higher education from University,2 years,"Masters, PhD",South Korea,"January 26, 2025"
KAIST Global IT Technology Program 2025 (Fully Funded),"Scholarships in South KoreaKAIST Global IT Technology Program 2025 (Fully Funded)ByMuhammad Saim Rasheed-December 6, 2024",https://opportunitiescorners.com/kaist-global-it-technology-program/,https://gdi.kaist.ac.kr/pages/sub/sub_020101,,Deadline: 23rd December 2024,"Applicants from any country can apply.Meet the academic requirements for admission to a Master’s or Doctoral program at KAIST.The scholarship is open to government officials, public institution employees, or senior researchers at national research centers working in IT-related fields in developing countries.Employees from private institutions cannot apply.A bachelor’s or master’s degree in an IT-related field is required.If you have an English Proficiency Test, upload it. Otherwise, it can be replaced with an English phone interview with the ITTP director.
Also Check:KTH Scholarship in Sweden 2025/26 (Study in Sweden)",South Korea, KAIST University,2 years,"Masters, PhD",South Korea,"December 6, 2024"
KAIST University Undergraduate Scholarship 2025 (Regular Track),"Scholarships in South KoreaKAIST University Undergraduate Scholarship 2025 (Regular Track)ByMuhammad Saim Rasheed-November 13, 2024",https://opportunitiescorners.com/kaist-university-undergraduate-scholarship/,https://apply.kaist.ac.kr/InterApply/InterApply,,Deadline: 7th January 2025,"Applicantswithforeigncitizenship.Neitheroftheapplicant’sparentsisaKoreancitizen;orApplicantsofKoreanoriginmusthavereceivedtheirentireelementary,juniorhigh,andhighschooleducationoutsideofKorea.ApplicantswhoholdKoreanCitizenship(includingdualcitizenship)areNOTeligibletoapplyasinternationalstudents.Pay the application fee.Best online courses
Also Check:List of European Government Scholarships 2025 (Fully Funded)",South Korea,KAIST University Undergraduate Scholarship 2025,4 years,Undergraduate,South Korea,"November 13, 2024"
Ulsan UNIST University Scholarship 2025 in South Korea (Funded),"Scholarships in South KoreaUlsan UNIST University Scholarship 2025 in South Korea (Funded)ByMuhammad Saim Rasheed-October 16, 2024",https://opportunitiescorners.com/ulsan-unist-university-scholarship/,https://admg-intl.unist.ac.kr/admissions/guidelines/,,Deadline: 23rd October 2024,"The Ulsan UNIST University Scholarship is open to all the Nationals.Korean Citizens can not apply.Final-year students can also apply.Provide all the documents.The semester will start in Spring 2025.
Also Check:AYFN Winter Korean Culture Camp 2025 (Fully Funded)",South Korea,Ulsan UNIST University Scholarship 2025,3-4 years,"Masters, PhD",South Korea,"October 16, 2024"
GKS Korean Government Undergraduate Scholarship 2025 (Fully Funded),"Scholarships in South KoreaGKS Korean Government Undergraduate Scholarship 2025 (Fully Funded)ByMuhammad Saim Rasheed-September 11, 2024",https://opportunitiescorners.com/gks-korean-government-undergraduate-scholarship-2024/,https://www.studyinkorea.go.kr/ko/scholarship/Gks1NoticeDetail.do?nttId=4233,,Deadline: Different for each country,"Citizens of all countries can apply except Korean citizens.Applicants who have a bachelor‟s degree cannot apply.Applicants who have associate degrees can only apply to a bachelor’s program.CGPA should be above 2.64 out of 4, 2.80 out of 4.3, 2.91 out of 4.5, or 3.23 out of 5.0The score percentile must be 80 percent or above.Should be under the age of 25 years.Must be in good healthNo criminal record.
For Result Waiting applicants:
Applicants who are expected to graduate must first submit a certificate of expected graduation at the time of application.",South Korea, and the University,3-4 years,"Undergraduate, Associate Degree",South Korea,"September 11, 2024"
